ID seqnames start end width strand source gene_id gene_type gene_name level hgnc_id havana_gene tag start_v38 end_v38 width_v38 gene_id_v38 gene_type_v38 gene_name_v38 level_v38 hgnc_id_v38 havana_gene_v38 tag_v38
3116885 RFPL1 chr22 29438583 29442455 3873 + HAVANA ENSG00000128250.5 protein_coding RFPL1 2 HGNC:9977 OTTHUMG00000150516.1 NA NA NA NA NA NA NA NA NA NA NA
2974266 ZNF551 chr19 57681969 57717301 35333 + HAVANA ENSG00000204519.11 protein_coding ZNF551 1 HGNC:25108 OTTHUMG00000183470.4 overlapping_locus NA NA NA NA NA NA NA NA NA NA
130158 C1orf52 chr1 85249953 85259672 9720 - HAVANA ENSG00000162642.14 protein_coding C1orf52 2 HGNC:24871 OTTHUMG00000009966.5 NA NA NA NA NA NA NA NA NA NA NA
3095426 PEX26 chr22 18077923 18105396 27474 + HAVANA ENSG00000215193.14 protein_coding PEX26 1 HGNC:22965 OTTHUMG00000149970.5 overlapping_locus NA NA NA NA NA NA NA NA NA NA
3192419 RP2 chrX 46837043 46882358 45316 + HAVANA ENSG00000102218.6 protein_coding RP2 2 HGNC:10274 OTTHUMG00000021430.2 NA NA NA NA NA NA NA NA NA NA NA
2026724 PIP4K2C chr12 57591174 57603418 12245 + HAVANA ENSG00000166908.18 protein_coding PIP4K2C 1 HGNC:23786 OTTHUMG00000170144.5 NA NA NA NA NA NA NA NA NA NA NA
2425477 TFAP4 chr16 4257186 4273075 15890 - HAVANA ENSG00000090447.12 protein_coding TFAP4 1 HGNC:11745 OTTHUMG00000129435.4 NA NA NA NA NA NA NA NA NA NA NA
2970543 ZNF787 chr19 56087366 56121295 33930 - HAVANA ENSG00000142409.6 protein_coding ZNF787 2 HGNC:26998 OTTHUMG00000181760.6 NA NA NA NA NA NA NA NA NA NA NA
1379228 ENTPD4 chr8 23385783 23457695 71913 - HAVANA ENSG00000197217.13 protein_coding ENTPD4 1 HGNC:14573 OTTHUMG00000097852.5 overlapping_locus NA NA NA NA NA NA NA NA NA NA
908551 CCT5 chr5 10249929 10266389 16461 + HAVANA ENSG00000150753.12 protein_coding CCT5 2 HGNC:1618 OTTHUMG00000131042.8 NA NA NA NA NA NA NA NA NA NA NA
635380 PRKCD chr3 53156009 53192717 36709 + HAVANA ENSG00000163932.15 protein_coding PRKCD 2 HGNC:9399 OTTHUMG00000133659.9 NA NA NA NA NA NA NA NA NA NA NA
1107733 VEGFA chr6 43770184 43786487 16304 + HAVANA ENSG00000112715.26 protein_coding VEGFA 2 HGNC:12680 OTTHUMG00000014745.14 NA NA NA NA ENSG00000112715.25 NA NA NA NA NA NA
1504585 MSMP chr9 35752990 35756613 3624 - HAVANA ENSG00000215183.5 protein_coding MSMP 1 HGNC:29663 OTTHUMG00000019882.3 NA NA NA NA NA NA NA NA NA NA NA
2070764 ALKBH2 chr12 109088188 109093631 5444 - HAVANA ENSG00000189046.11 protein_coding ALKBH2 1 HGNC:32487 OTTHUMG00000169246.4 NA NA NA NA NA NA NA NA NA NA NA
1836511 TMEM151A chr11 66291894 66296664 4771 + HAVANA ENSG00000179292.5 protein_coding TMEM151A 2 HGNC:28497 OTTHUMG00000166920.2 NA NA NA NA NA NA NA NA NA NA NA
2270518 MOK chr14 102224500 102305190 80691 - HAVANA ENSG00000080823.23 protein_coding MOK 1 HGNC:9833 OTTHUMG00000164896.9 NA NA NA NA NA NA NA NA NA NA NA
2650198 ADAM11 chr17 44758988 44781846 22859 + HAVANA ENSG00000073670.14 protein_coding ADAM11 2 HGNC:189 OTTHUMG00000179038.4 NA NA NA NA NA NA NA NA NA NA NA
892448 GALNTL6 chr4 171812254 173041559 1229306 + HAVANA ENSG00000174473.16 protein_coding GALNTL6 2 HGNC:33844 OTTHUMG00000160807.4 NA NA NA NA NA NA NA NA NA NA NA
131582 CLCA4 chr1 86547078 86580754 33677 + HAVANA ENSG00000016602.9 protein_coding CLCA4 2 HGNC:2018 OTTHUMG00000010260.1 NA NA NA NA NA NA NA NA NA NA NA
1112212 PKHD1 chr6 51615299 52087613 472315 - HAVANA ENSG00000170927.15 protein_coding PKHD1 2 HGNC:9016 OTTHUMG00000014841.2 NA NA NA NA NA NA NA NA NA NA NA
3184175 PRRG1 chrX 37349309 37457292 107984 + HAVANA ENSG00000130962.18 protein_coding PRRG1 1 HGNC:9469 OTTHUMG00000021360.3 overlapping_locus NA NA NA NA NA NA NA NA NA NA
2837025 QTRT1 chr19 10701430 10713437 12008 + HAVANA ENSG00000213339.9 protein_coding QTRT1 2 HGNC:23797 OTTHUMG00000180588.3 NA NA NA NA NA NA NA NA NA NA NA
185202 RIIAD1 chr1 151710433 151729805 19373 + HAVANA ENSG00000178796.13 protein_coding RIIAD1 1 HGNC:26686 OTTHUMG00000013055.5 NA NA NA NA NA NA NA NA NA NA NA
1149347 BVES chr6 105096822 105137157 40336 - HAVANA ENSG00000112276.14 protein_coding BVES 2 HGNC:1152 OTTHUMG00000015291.3 NA NA NA NA NA NA NA NA NA NA NA
1724563 DOCK1 chr10 126905409 127452517 547109 + HAVANA ENSG00000150760.13 protein_coding DOCK1 2 HGNC:2987 OTTHUMG00000019249.4 NA NA NA NA NA NA NA NA NA NA NA
3229812 TIMM8A chrX 101345661 101348742 3082 - HAVANA ENSG00000126953.8 protein_coding TIMM8A 2 HGNC:11817 OTTHUMG00000022028.6 NA NA NA NA NA NA NA NA NA NA NA
2258393 GSKIP chr14 96363452 96387288 23837 + HAVANA ENSG00000100744.15 protein_coding GSKIP 2 HGNC:20343 OTTHUMG00000171420.3 ncRNA_host NA NA NA NA NA NA NA NA NA NA
845649 CYP2U1 chr4 107931549 107953461 21913 + HAVANA ENSG00000155016.18 protein_coding CYP2U1 1 HGNC:20582 OTTHUMG00000161084.3 NA NA NA NA NA NA NA NA NA NA NA
1930084 WNT5B chr12 1529891 1647212 117322 + HAVANA ENSG00000111186.13 protein_coding WNT5B 1 HGNC:16265 OTTHUMG00000090375.4 NA NA NA NA NA NA NA NA NA NA NA
678987 KPNA1 chr3 122421902 122514945 93044 - HAVANA ENSG00000114030.13 protein_coding KPNA1 2 HGNC:6394 OTTHUMG00000159487.3 NA NA NA NA NA NA NA NA NA NA NA
2233370 RIOX1 chr14 73490933 73493394 2462 + HAVANA ENSG00000170468.8 protein_coding RIOX1 2 HGNC:20968 OTTHUMG00000166530.6 NA NA NA NA NA NA NA NA NA NA NA
2666512 XYLT2 chr17 50346126 50363138 17013 + HAVANA ENSG00000015532.10 protein_coding XYLT2 2 HGNC:15517 OTTHUMG00000162057.5 NA NA NA NA NA NA NA NA NA NA NA
247505 TNNT2 chr1 201359008 201377764 18757 - HAVANA ENSG00000118194.21 protein_coding TNNT2 2 HGNC:11949 OTTHUMG00000035733.16 overlapping_locus NA NA NA ENSG00000118194.20 NA NA NA NA NA NA
3243194 RHOXF1 chrX 120109051 120115913 6863 - HAVANA ENSG00000101883.5 protein_coding RHOXF1 2 HGNC:29993 OTTHUMG00000022290.3 NA NA NA NA NA NA NA NA NA NA NA
1515616 PTAR1 chr9 69709522 69760011 50490 - HAVANA ENSG00000188647.13 protein_coding PTAR1 1 HGNC:30449 OTTHUMG00000019982.5 NA NA NA NA NA NA NA NA NA NA NA
3252460 RTL8C chrX 135032355 135033546 1192 + HAVANA ENSG00000134590.14 protein_coding RTL8C 2 HGNC:2569 OTTHUMG00000022465.4 NA NA NA NA NA NA NA NA NA NA NA
1106031 CRIP3 chr6 43299710 43308826 9117 - HAVANA ENSG00000146215.14 protein_coding CRIP3 2 HGNC:17751 OTTHUMG00000014727.2 overlapping_locus NA NA NA NA NA NA NA NA NA NA
861447 SMIM43 chr4 121758881 121765427 6547 - HAVANA ENSG00000164112.14 protein_coding SMIM43 2 HGNC:55077 OTTHUMG00000192433.1 NA NA NA NA NA NA NA NA NA NA NA
2165700 CHAMP1 chr13 114314482 114337626 23145 + HAVANA ENSG00000198824.7 protein_coding CHAMP1 2 HGNC:20311 OTTHUMG00000017404.9 NA NA NA NA NA NA NA NA NA NA NA
3038769 RIPOR3 chr20 50586108 50691542 105435 - HAVANA ENSG00000042062.13 protein_coding RIPOR3 2 HGNC:16168 OTTHUMG00000032724.4 ncRNA_host NA NA NA NA NA NA NA NA NA NA
1777407 CCDC34 chr11 27330827 27363234 32408 - HAVANA ENSG00000109881.17 protein_coding CCDC34 2 HGNC:25079 OTTHUMG00000166211.3 NA NA NA NA NA NA NA NA NA NA NA
1831089 FRMD8 chr11 65386621 65413525 26905 + HAVANA ENSG00000126391.14 protein_coding FRMD8 2 HGNC:25462 OTTHUMG00000166275.4 NA NA NA NA NA NA NA NA NA NA NA
735853 ACTL6A chr3 179562886 179588407 25522 + HAVANA ENSG00000136518.17 protein_coding ACTL6A 2 HGNC:24124 OTTHUMG00000157782.9 NA NA NA NA NA NA NA NA NA NA NA
1076324 HLA.B chr6 31353872 31367067 13196 - HAVANA ENSG00000234745.14 protein_coding HLA-B 2 HGNC:4932 OTTHUMG00000031153.7 ncRNA_host NA 31357188 3317 ENSG00000234745.13 NA NA NA NA NA NA
389452 LRRTM1 chr2 80288351 80304752 16402 - HAVANA ENSG00000162951.11 protein_coding LRRTM1 2 HGNC:19408 OTTHUMG00000130021.9 NA NA NA NA NA NA NA NA NA NA NA
408413 LONRF2 chr2 100271875 100322501 50627 - HAVANA ENSG00000170500.13 protein_coding LONRF2 2 HGNC:24788 OTTHUMG00000130668.4 NA NA NA NA NA NA NA NA NA NA NA
1473712 OPLAH chr8 144051266 144063965 12700 - HAVANA ENSG00000178814.17 protein_coding OPLAH 2 HGNC:8149 OTTHUMG00000165435.8 ncRNA_host NA NA NA NA NA NA NA NA NA NA
2913994 SNRPA chr19 40750637 40765389 14753 + HAVANA ENSG00000077312.9 protein_coding SNRPA 2 HGNC:11151 OTTHUMG00000182689.7 NA NA NA NA NA NA NA NA NA NA NA
3112929 HPS4 chr22 26443423 26483837 40415 - HAVANA ENSG00000100099.21 protein_coding HPS4 2 HGNC:15844 OTTHUMG00000030459.8 NA NA NA NA NA NA NA NA NA NA NA
1333302 DGKI chr7 137381037 137847092 466056 - HAVANA ENSG00000157680.16 protein_coding DGKI 2 HGNC:2855 OTTHUMG00000155697.5 NA NA NA NA NA NA NA NA NA NA NA
1956620 GPRC5D chr12 12940575 12952170 11596 - HAVANA ENSG00000111291.9 protein_coding GPRC5D 2 HGNC:13310 OTTHUMG00000168711.4 NA 12940775 12952147 11373 ENSG00000111291.8 NA NA NA NA NA NA
2584724 ELAC2 chr17 12991612 13018065 26454 - HAVANA ENSG00000006744.19 protein_coding ELAC2 1 HGNC:14198 OTTHUMG00000058764.16 NA NA NA NA NA NA NA NA NA NA NA
685873 SLC41A3 chr3 126006357 126101561 95205 - HAVANA ENSG00000114544.17 protein_coding SLC41A3 1 HGNC:31046 OTTHUMG00000162678.10 NA NA NA NA NA NA NA NA NA NA NA
1644463 CSTF2T chr10 51695486 51699595 4110 - HAVANA ENSG00000177613.9 protein_coding CSTF2T 2 HGNC:17086 OTTHUMG00000018246.2 retrogene NA NA NA NA NA NA NA NA NA NA
1512140 FOXD4L5 chr9 65282101 65285209 3109 - HAVANA ENSG00000204779.2 protein_coding FOXD4L5 2 HGNC:18522 OTTHUMG00000013332.1 NA NA NA NA NA NA NA NA NA NA NA
1741869 C11orf21 chr11 2295628 2303049 7422 - HAVANA ENSG00000110665.12 protein_coding C11orf21 1 HGNC:13231 OTTHUMG00000009759.6 NA NA NA NA NA NA NA NA NA NA NA
453353 IFIH1 chr2 162267074 162318684 51611 - HAVANA ENSG00000115267.9 protein_coding IFIH1 2 HGNC:18873 OTTHUMG00000132055.7 NA NA NA NA NA NA NA NA NA NA NA
540902 ASB18 chr2 236193459 236264409 70951 - HAVANA ENSG00000182177.15 protein_coding ASB18 1 HGNC:19770 OTTHUMG00000153086.3 ncRNA_host 236194872 NA 69538 ENSG00000182177.14 NA NA NA NA NA NA
1462645 ST3GAL1 chr8 133454848 133571940 117093 - HAVANA ENSG00000008513.16 protein_coding ST3GAL1 2 HGNC:10862 OTTHUMG00000164534.6 NA NA NA NA NA NA NA NA NA NA NA
1245691 VWC2 chr7 49773638 49921950 148313 + HAVANA ENSG00000188730.5 protein_coding VWC2 2 HGNC:30200 OTTHUMG00000129265.3 NA NA NA NA NA NA NA NA NA NA NA
467447 SP9 chr2 174334954 174338500 3547 + HAVANA ENSG00000217236.2 protein_coding SP9 1 HGNC:30690 OTTHUMG00000150371.2 NA NA NA NA NA NA NA NA NA NA NA
2362924 CCDC33 chr15 74202705 74336472 133768 + HAVANA ENSG00000140481.15 protein_coding CCDC33 2 HGNC:26552 OTTHUMG00000172621.6 NA NA NA NA NA NA NA NA NA NA NA
744031 ABCF3 chr3 184186095 184194012 7918 + HAVANA ENSG00000161204.12 protein_coding ABCF3 2 HGNC:72 OTTHUMG00000156824.1 NA 184186023 NA 7990 ENSG00000161204.11 NA NA NA NA NA NA
1493747 PLAA chr9 26903372 26947242 43871 - HAVANA ENSG00000137055.15 protein_coding PLAA 1 HGNC:9043 OTTHUMG00000019708.5 NA NA NA NA NA NA NA NA NA NA NA
2433671 C16orf72 chr16 9091644 9121635 29992 + HAVANA ENSG00000182831.12 protein_coding C16orf72 2 HGNC:30103 OTTHUMG00000178147.5 overlapping_locus NA NA NA NA NA NA NA NA NA NA
1156234 RPF2 chr6 110982015 111028263 46249 + HAVANA ENSG00000197498.13 protein_coding RPF2 1 HGNC:20870 OTTHUMG00000015368.3 NA NA NA NA NA NA NA NA NA NA NA
1889780 SLN chr11 107707378 107719693 12316 - HAVANA ENSG00000170290.4 protein_coding SLN 2 HGNC:11089 OTTHUMG00000166364.3 NA NA NA NA NA NA NA NA NA NA NA
507025 UNC80 chr2 209771832 209999300 227469 + HAVANA ENSG00000144406.19 protein_coding UNC80 2 HGNC:26582 OTTHUMG00000132963.14 overlapping_locus NA NA NA NA NA NA NA NA NA NA
2785412 SEC11C chr18 59139866 59158832 18967 + HAVANA ENSG00000166562.9 protein_coding SEC11C 1 HGNC:23400 OTTHUMG00000132762.4 NA NA NA NA NA NA NA NA NA NA NA
1693733 ERLIN1 chr10 100150094 100186033 35940 - HAVANA ENSG00000107566.14 protein_coding ERLIN1 2 HGNC:16947 OTTHUMG00000018900.4 overlapping_locus NA NA NA NA NA NA NA NA NA NA
273288 CAPN2 chr1 223701593 223776018 74426 + HAVANA ENSG00000162909.18 protein_coding CAPN2 2 HGNC:1479 OTTHUMG00000037376.5 NA NA NA NA NA NA NA NA NA NA NA
3147633 RRP7A chr22 42508344 42519796 11453 - HAVANA ENSG00000189306.11 protein_coding RRP7A 2 HGNC:24286 OTTHUMG00000150891.2 NA NA NA NA NA NA NA NA NA NA NA
396463 KRCC1 chr2 88027205 88064252 37048 - HAVANA ENSG00000172086.9 protein_coding KRCC1 2 HGNC:28039 OTTHUMG00000130315.3 NA NA NA NA NA NA NA NA NA NA NA
2872245 GDF1 chr19 18868545 18896158 27614 - HAVANA ENSG00000130283.9 protein_coding GDF1 2 HGNC:4214 OTTHUMG00000183278.3 overlapping_locus NA NA NA NA NA NA NA NA NA NA
3012333 EIF6 chr20 35278907 35284985 6079 - HAVANA ENSG00000242372.9 protein_coding EIF6 2 HGNC:6159 OTTHUMG00000032328.7 overlapping_locus NA NA NA NA NA NA NA NA NA NA
2280164 BTBD6 chr14 105248533 105251093 2561 + HAVANA ENSG00000184887.14 protein_coding BTBD6 2 HGNC:19897 OTTHUMG00000029887.6 retrogene NA NA NA NA NA NA NA NA NA NA
43683 TCEA3 chr1 23380909 23424748 43840 - HAVANA ENSG00000204219.11 protein_coding TCEA3 2 HGNC:11615 OTTHUMG00000003233.6 NA NA NA NA NA NA NA NA NA NA NA
3086404 AIRE chr21 44285838 44298648 12811 + HAVANA ENSG00000160224.17 protein_coding AIRE 2 HGNC:360 OTTHUMG00000086921.5 NA NA NA NA NA NA NA NA NA NA NA
268932 LYPLAL1 chr1 219173869 219212865 38997 + HAVANA ENSG00000143353.12 protein_coding LYPLAL1 2 HGNC:20440 OTTHUMG00000037141.3 NA NA NA NA NA NA NA NA NA NA NA
2325391 CTXN2 chr15 48178122 48203758 25637 + HAVANA ENSG00000233932.6 protein_coding CTXN2 2 HGNC:31109 OTTHUMG00000172152.4 overlapping_locus NA NA NA NA NA NA NA NA NA NA
2224610 EIF2S1 chr14 67360328 67386516 26189 + HAVANA ENSG00000134001.15 protein_coding EIF2S1 2 HGNC:3265 OTTHUMG00000029800.7 NA NA NA NA NA NA NA NA NA NA NA
3252523 ETDB chrX 135118955 135120526 1572 - HAVANA ENSG00000224107.5 protein_coding ETDB 2 HGNC:44269 OTTHUMG00000022469.3 NA NA NA NA NA NA NA NA NA NA NA
2041971 ATXN7L3B chr12 74537835 74545430 7596 + HAVANA ENSG00000253719.4 protein_coding ATXN7L3B 2 HGNC:37931 OTTHUMG00000163936.3 retrogene NA NA NA NA NA NA NA NA NA NA
2519 TNFRSF18 chr1 1203508 1206592 3085 - HAVANA ENSG00000186891.14 protein_coding TNFRSF18 2 HGNC:11914 OTTHUMG00000001414.5 NA NA NA NA NA NA NA NA NA NA NA
2323540 GATM chr15 45361124 45402327 41204 - HAVANA ENSG00000171766.17 protein_coding GATM 2 HGNC:4175 OTTHUMG00000131427.6 NA NA NA NA NA NA NA NA NA NA NA
1614846 FRMD4A chr10 13643706 14462142 818437 - HAVANA ENSG00000151474.23 protein_coding FRMD4A 1 HGNC:25491 OTTHUMG00000017708.10 ncRNA_host NA NA NA NA NA NA NA NA NA NA
52339 FCN3 chr1 27369110 27374824 5715 - HAVANA ENSG00000142748.13 protein_coding FCN3 2 HGNC:3625 OTTHUMG00000005722.2 NA NA NA NA NA NA NA NA NA NA NA
555331 SETMAR chr3 4303332 4317265 13934 + HAVANA ENSG00000170364.13 protein_coding SETMAR 1 HGNC:10762 OTTHUMG00000090265.9 NA 4303304 4317567 14264 ENSG00000170364.12 NA NA NA NA NA NA
1926624 VPS26B chr11 134224671 134247788 23118 + HAVANA ENSG00000151502.11 protein_coding VPS26B 2 HGNC:28119 OTTHUMG00000167175.5 NA NA NA NA NA NA NA NA NA NA NA
454535 SCN3A chr2 165087526 165204050 116525 - HAVANA ENSG00000153253.19 protein_coding SCN3A 2 HGNC:10590 OTTHUMG00000044171.9 NA NA NA NA NA NA NA NA NA NA NA
284829 C1orf131 chr1 231223763 231241187 17425 - HAVANA ENSG00000143633.13 protein_coding C1orf131 2 HGNC:25332 OTTHUMG00000038023.4 NA NA NA NA NA NA NA NA NA NA NA
1110470 TDRD6 chr6 46687875 46704319 16445 + HAVANA ENSG00000180113.16 protein_coding TDRD6 2 HGNC:21339 OTTHUMG00000014788.2 NA NA NA NA NA NA NA NA NA NA NA
1777149 SLC5A12 chr11 26667020 26723427 56408 - HAVANA ENSG00000148942.15 protein_coding SLC5A12 2 HGNC:28750 OTTHUMG00000150706.5 NA NA NA NA NA NA NA NA NA NA NA
1744947 ART5 chr11 3638512 3642316 3805 - HAVANA ENSG00000167311.14 protein_coding ART5 1 HGNC:24049 OTTHUMG00000011842.6 NA NA NA NA NA NA NA NA NA NA NA
882140 SFRP2 chr4 153780591 153789083 8493 - HAVANA ENSG00000145423.5 protein_coding SFRP2 2 HGNC:10777 OTTHUMG00000161559.3 NA NA NA NA NA NA NA NA NA NA NA
1798262 CELF1 chr11 47465933 47565569 99637 - HAVANA ENSG00000149187.19 protein_coding CELF1 1 HGNC:2549 OTTHUMG00000166526.6 overlapping_locus NA NA NA ENSG00000149187.18 NA NA NA NA NA NA
3261179 VMA21 chrX 151396515 151409364 12850 + HAVANA ENSG00000160131.14 protein_coding VMA21 2 HGNC:22082 OTTHUMG00000024168.2 NA NA NA NA NA NA NA NA NA NA NA
330083 CCDC121 chr2 27625638 27629012 3375 - HAVANA ENSG00000176714.10 protein_coding CCDC121 2 HGNC:25833 OTTHUMG00000128427.4 NA NA NA NA NA NA NA NA NA NA NA
2934903 MEIS3 chr19 47403124 47419527 16404 - HAVANA ENSG00000105419.18 protein_coding MEIS3 1 HGNC:29537 OTTHUMG00000172280.4 NA NA NA NA NA NA NA NA NA NA NA
2797813 POLRMT chr19 617221 633537 16317 - HAVANA ENSG00000099821.14 protein_coding POLRMT 2 HGNC:9200 OTTHUMG00000180611.12 NA NA NA NA NA NA NA NA NA NA NA
3280193 KDM5D chrY 19703865 19744939 41075 - HAVANA ENSG00000012817.16 protein_coding KDM5D 2 HGNC:11115 OTTHUMG00000036508.3 NA NA NA NA NA NA NA NA NA NA NA
159996 HIPK1 chr1 113929324 113977869 48546 + HAVANA ENSG00000163349.22 protein_coding HIPK1 1 HGNC:19006 OTTHUMG00000011983.8 NA NA NA NA NA NA NA NA NA NA NA
2326825 SHC4 chr15 48823741 48963919 140179 - HAVANA ENSG00000185634.12 protein_coding SHC4 2 HGNC:16743 OTTHUMG00000131513.3 NA NA NA NA NA NA NA NA NA NA NA
3028919 TP53TG5 chr20 45372557 45407889 35333 - HAVANA ENSG00000124251.11 protein_coding TP53TG5 2 HGNC:15856 OTTHUMG00000032582.4 overlapping_locus NA NA NA NA NA NA NA NA NA NA
404484 ACTR1B chr2 97655939 97664044 8106 - HAVANA ENSG00000115073.8 protein_coding ACTR1B 2 HGNC:168 OTTHUMG00000130549.5 NA NA NA NA NA NA NA NA NA NA NA
1470615 GFUS chr8 143612618 143618048 5431 - HAVANA ENSG00000104522.16 protein_coding GFUS 2 HGNC:12390 OTTHUMG00000165159.6 NA NA NA NA NA NA NA NA NA NA NA
2924091 ZNF224 chr19 44094361 44109886 15526 + HAVANA ENSG00000267680.6 protein_coding ZNF224 2 HGNC:13017 OTTHUMG00000182313.4 NA 44094339 NA 15548 ENSG00000267680.5 NA NA NA NA NA NA
3147070 SMDT1 chr22 42079691 42084284 4594 + HAVANA ENSG00000183172.9 protein_coding SMDT1 2 HGNC:25055 OTTHUMG00000151286.4 NA NA NA NA NA NA NA NA NA NA NA
1389493 EIF4EBP1 chr8 38030534 38060365 29832 + HAVANA ENSG00000187840.5 protein_coding EIF4EBP1 2 HGNC:3288 OTTHUMG00000164012.2 NA NA NA NA NA NA NA NA NA NA NA
41353 WNT4 chr1 22117313 22143969 26657 - HAVANA ENSG00000162552.15 protein_coding WNT4 2 HGNC:12783 OTTHUMG00000002894.4 NA NA NA NA NA NA NA NA NA NA NA
2336636 TCF12 chr15 56918623 57299281 380659 + HAVANA ENSG00000140262.18 protein_coding TCF12 1 HGNC:11623 OTTHUMG00000132047.13 NA NA NA NA NA NA NA NA NA NA NA
2452549 UQCRC2 chr16 21953288 21983660 30373 + HAVANA ENSG00000140740.11 protein_coding UQCRC2 1 HGNC:12586 OTTHUMG00000131585.4 NA NA NA NA NA NA NA NA NA NA NA
3217733 ITGB1BP2 chrX 71301750 71305371 3622 + HAVANA ENSG00000147166.11 protein_coding ITGB1BP2 2 HGNC:6154 OTTHUMG00000021793.2 NA NA NA NA NA NA NA NA NA NA NA
3100379 ZDHHC8 chr22 20129456 20148007 18552 + HAVANA ENSG00000099904.16 protein_coding ZDHHC8 1 HGNC:18474 OTTHUMG00000150499.4 NA NA NA NA NA NA NA NA NA NA NA
1813954 FEN1 chr11 61792911 61797238 4328 + HAVANA ENSG00000168496.4 protein_coding FEN1 1 HGNC:3650 OTTHUMG00000168162.5 overlapping_locus NA NA NA NA NA NA NA NA NA NA
1971108 FAR2 chr12 29149016 29341121 192106 + HAVANA ENSG00000064763.12 protein_coding FAR2 1 HGNC:25531 OTTHUMG00000169320.4 NA 29149103 29340980 191878 ENSG00000064763.11 NA NA NA NA NA NA
1263200 SRRM3 chr7 76201896 76287288 85393 + HAVANA ENSG00000177679.16 protein_coding SRRM3 2 HGNC:26729 OTTHUMG00000130489.6 NA NA NA NA NA NA NA NA NA NA NA
1022359 ADAM19 chr5 157395534 157575775 180242 - HAVANA ENSG00000135074.16 protein_coding ADAM19 2 HGNC:197 OTTHUMG00000130242.2 overlapping_locus NA NA NA NA NA NA NA NA NA NA
13798 KCNAB2 chr1 5990927 6101193 110267 + HAVANA ENSG00000069424.16 protein_coding KCNAB2 2 HGNC:6229 OTTHUMG00000000795.17 NA NA NA NA ENSG00000069424.15 NA NA NA NA NA NA
2247616 FOXN3 chr14 89124871 89619149 494279 - HAVANA ENSG00000053254.16 protein_coding FOXN3 1 HGNC:1928 OTTHUMG00000170898.4 overlapping_locus NA NA NA NA NA NA NA NA NA NA
2634093 GAST chr17 41712331 41715969 3639 + HAVANA ENSG00000184502.4 protein_coding GAST 2 HGNC:4164 OTTHUMG00000133496.2 NA NA NA NA NA NA NA NA NA NA NA
3073610 PIGP chr21 37062846 37073170 10325 - HAVANA ENSG00000185808.14 protein_coding PIGP 2 HGNC:3046 OTTHUMG00000086653.7 NA NA NA NA NA NA NA NA NA NA NA
2013367 ORMDL2 chr12 55818041 55821879 3839 + HAVANA ENSG00000123353.10 protein_coding ORMDL2 1 HGNC:16037 OTTHUMG00000170202.2 NA NA NA NA NA NA NA NA NA NA NA
1477136 RECQL4 chr8 144511288 144517845 6558 - HAVANA ENSG00000160957.15 protein_coding RECQL4 2 HGNC:9949 OTTHUMG00000165178.7 NA NA NA NA ENSG00000160957.14 NA NA NA NA NA NA
659028 TBC1D23 chr3 100260992 100325251 64260 + HAVANA ENSG00000036054.13 protein_coding TBC1D23 1 HGNC:25622 OTTHUMG00000159067.3 NA NA NA NA NA NA NA NA NA NA NA
1362988 ERI1 chr8 9002147 9116746 114600 + HAVANA ENSG00000104626.15 protein_coding ERI1 2 HGNC:23994 OTTHUMG00000129328.7 ncRNA_host NA NA NA NA NA NA NA NA NA NA
1599357 SSNA1 chr9 137188660 137190370 1711 + HAVANA ENSG00000176101.12 protein_coding SSNA1 2 HGNC:11321 OTTHUMG00000020982.3 NA NA NA NA NA NA NA NA NA NA NA
1823412 NUDT22 chr11 64225941 64230686 4746 + HAVANA ENSG00000149761.9 protein_coding NUDT22 1 HGNC:28189 OTTHUMG00000167791.8 overlapping_locus NA NA NA NA NA NA NA NA NA NA
3204137 SMC1A chrX 53374149 53422728 48580 - HAVANA ENSG00000072501.19 protein_coding SMC1A 2 HGNC:11111 OTTHUMG00000021614.7 ncRNA_host NA NA NA NA NA NA NA NA NA NA
1470825 ZNF707 chr8 143684452 143713898 29447 + HAVANA ENSG00000181135.16 protein_coding ZNF707 1 HGNC:27815 OTTHUMG00000165146.4 NA NA NA NA NA NA NA NA NA NA NA
2419317 KCTD5 chr16 2682523 2709030 26508 + HAVANA ENSG00000167977.9 protein_coding KCTD5 2 HGNC:21423 OTTHUMG00000128930.4 overlapping_locus NA NA NA NA NA NA NA NA NA NA
1289175 AP4M1 chr7 100101549 100110345 8797 + HAVANA ENSG00000221838.10 protein_coding AP4M1 1 HGNC:574 OTTHUMG00000154722.108 NA NA NA NA NA NA NA NA NA NA NA
2168856 RNASE2 chr14 20955487 20956436 950 + HAVANA ENSG00000169385.3 protein_coding RNASE2 2 HGNC:10045 OTTHUMG00000029607.3 NA NA NA NA NA NA NA NA NA NA NA
3041894 BMP7 chr20 57168753 57266641 97889 - HAVANA ENSG00000101144.13 protein_coding BMP7 1 HGNC:1074 OTTHUMG00000032812.5 NA NA NA NA NA NA NA NA NA NA NA
1950711 A2ML1 chr12 8822621 8887001 64381 + HAVANA ENSG00000166535.20 protein_coding A2ML1 2 HGNC:23336 OTTHUMG00000128499.9 NA NA NA NA NA NA NA NA NA NA NA
1894038 LAYN chr11 111540280 111561745 21466 + HAVANA ENSG00000204381.12 protein_coding LAYN 2 HGNC:29471 OTTHUMG00000166721.3 NA NA NA NA NA NA NA NA NA NA NA
